tiktok_id,username,followers,following,likes,videos,average_engagement_rate,is_generated,date
5831967,charlidamelio,53448365,832,3589835914,1267,8.95,0,2020-05-05+14:53:00
5831967,charlidamelio,53220311,832,3567752749,1263,9.35,0,2020-05-04+14:53:00
5831967,charlidamelio,52976158,832,3549295734,1260,9.32,0,2020-05-03+14:53:00
5831967,charlidamelio,52710403,832,3533405083,1259,9.21,0,2020-05-02+14:53:00
5831967,charlidamelio,52417918,829,3510133940,1258,8.57,0,2020-05-01+14:52:01
5831967,charlidamelio,52172226,829,3491660349,1255,8.68,0,2020-04-30+14:51:00
5831967,charlidamelio,51927144,829,3478045732,1254,8.45,0,2020-04-29+14:51:00
5831967,charlidamelio,51706564,832,3463485418,1255,8.16,0,2020-04-28+14:51:00
5831967,charlidamelio,51473730,828,3439427943,1252,8.09,0,2020-04-27+14:51:00
5831967,charlidamelio,51250542,835,3419110014,1251,7.71,0,2020-04-26+14:51:00
5831967,charlidamelio,51011854,833,3388893242,1247,6.77,0,2020-04-25+14:51:00
5831967,charlidamelio,50760642,833,3356898196,1239,7.23,0,2020-04-24+14:51:00
5831967,charlidamelio,50502011,832,3336662351,1239,6.31,0,2020-04-23+14:51:00
5831967,charlidamelio,50248618,833,3312147283,1234,6.8,0,2020-04-22+14:51:00
5831967,charlidamelio,49999193,833,3287904272,1230,6.62,0,2020-04-21+14:51:00
5831967,charlidamelio,49746861,833,3267749682,1227,5.96,0,2020-04-20+14:51:00
5831967,charlidamelio,49524468,832,3243084710,1222,6.22,0,2020-04-19+14:51:00
5831967,charlidamelio,49302826,830,3214239551,1212,7.3,0,2020-04-18+14:51:00
5831967,charlidamelio,49061691,826,3197415650,1211,6.76,0,2020-04-17+14:51:00
5831967,charlidamelio,48769122,824,3166010009,1202,7.13,0,2020-04-16+14:51:00
5831967,charlidamelio,48509092,824,3138915362,1197,7.32,0,2020-04-15+14:51:00
5831967,charlidamelio,48235987,823,3120175675,1196,7.04,0,2020-04-14+14:51:00
5831967,charlidamelio,47933879,822,3090655588,1189,7.06,0,2020-04-13+14:51:00
5831967,charlidamelio,47650170,915,3065765211,1185,6.86,0,2020-04-12+14:51:00
5831967,charlidamelio,47363476,914,3032893097,1177,7.44,0,2020-04-11+14:51:00
5831967,charlidamelio,47096758,914,3009067852,1176,6.65,0,2020-04-10+14:51:00
5831967,charlidamelio,46827095,911,2976897329,1169,6.63,0,2020-04-09+14:51:00
5831967,charlidamelio,46527443,911,2948694354,1164,6.72,0,2020-04-08+14:51:00
5831967,charlidamelio,46231548,908,2919852122,1156,7.94,0,2020-04-07+14:51:00
5831967,charlidamelio,37229292,916,2138160861,1012,10.35,0,2020-03-16+23:34:04
5831967,charlidamelio,36610503,915,2095806310,1003,10,1,2020-03-15+12:03:52
5831967,charlidamelio,36072655,914,2060584291,998,10.18,0,2020-03-14+12:03:52
5831967,charlidamelio,35749960,913,2034954636,992,10,1,2020-03-13+14:02:00
5831967,charlidamelio,35427280,912,2009325605,987,11,1,2020-03-12+14:02:00
5831967,charlidamelio,35104600,912,1983696574,981,11,1,2020-03-11+14:02:00
5831967,charlidamelio,34781920,911,1958067543,976,11,1,2020-03-10+14:02:00
5831967,charlidamelio,34459241,911,1932438513,971,12.34,0,2020-03-09+14:02:00
5831967,charlidamelio,34159117,911,1916972063,972,11.65,0,2020-03-08+14:01:41
5831967,charlidamelio,33826663,908,1891202990,967,11,1,2020-03-07+17:04:01
5831967,charlidamelio,33494210,905,1865433917,963,12,1,2020-03-06+17:04:01
5831967,charlidamelio,33161757,902,1839664844,959,12,1,2020-03-05+17:04:01
5831967,charlidamelio,32829304,900,1813895771,955,12.91,0,2020-03-04+17:04:01
5831967,charlidamelio,32529783,900,1794739439,952,12,1,2020-03-03+20:02:01
5831967,charlidamelio,32230263,901,1775583108,949,12,1,2020-03-02+20:02:01
5831967,charlidamelio,31930743,902,1756426777,947,11.58,0,2020-03-01+20:02:01
5831967,charlidamelio,31462729,902,1727242223,942,11,1,2020-02-29+09:03:01
5831967,charlidamelio,30994788,902,1698060037,938,12.04,0,2020-02-28+09:03:01
5831967,charlidamelio,30764093,903,1683663680,936,11,1,2020-02-27+17:53:01
5831967,charlidamelio,30533399,905,1669267323,934,10.44,0,2020-02-26+17:53:01
5831967,charlidamelio,30043565,909,1622780834,920,11.71,0,2020-02-25+05:15:01
5831967,charlidamelio,29755288,908,1596328421,913,12,1,2020-02-24+16:10:01
5831967,charlidamelio,29467011,908,1569876008,907,13.03,0,2020-02-23+16:10:01
5831967,charlidamelio,28833137,908,1531166863,900,12.4,0,2020-02-22+07:07:01
5831967,charlidamelio,28642085,907,1519602128,900,11,1,2020-02-21+23:09:01
5831967,charlidamelio,28451033,907,1508037394,900,10.61,0,2020-02-20+23:09:01
5831967,charlidamelio,28058444,907,1480161159,897,11.77,0,2020-02-19+16:24:01
5831967,charlidamelio,27740838,906,1461254118,894,11,1,2020-02-18+21:37:01
5831967,charlidamelio,27423233,906,1442347078,891,10,1,2020-02-17+21:37:01
5831967,charlidamelio,27105628,906,1423440038,888,10,1,2020-02-16+21:37:01
5831967,charlidamelio,26788022,905,1404532998,885,9,1,2020-02-15+21:37:01
5831967,charlidamelio,26470417,905,1385625958,882,9,1,2020-02-14+21:37:01
5831967,charlidamelio,26152812,905,1366718918,879,8,1,2020-02-13+21:37:01
5831967,charlidamelio,25835207,905,1347811878,876,8.53,0,2020-02-12+21:37:01
5831967,charlidamelio,25353448,906,1317308921,869,9.3,0,2020-02-11+10:07:01
5831967,charlidamelio,25141442,905,1301271578,862,13,1,2020-02-10+23:01:01
5831967,charlidamelio,24929437,905,1285234236,856,17.99,0,2020-02-09+23:01:01
5831967,charlidamelio,24663959,904,1265728110,849,17,1,2020-02-08+06:29:01
5831967,charlidamelio,24398481,903,1246221985,843,17,1,2020-02-07+06:29:01
5831967,charlidamelio,24133003,903,1226715859,837,17,1,2020-02-06+06:29:01
5831967,charlidamelio,23867526,902,1207209734,831,17,1,2020-02-05+06:29:01
5831967,charlidamelio,23602048,902,1187703609,825,17,1,2020-02-04+06:29:01
5831967,charlidamelio,23336570,901,1168197483,818,17,1,2020-02-03+06:29:01
5831967,charlidamelio,23071093,900,1148691358,812,17,1,2020-02-02+06:29:01
5831967,charlidamelio,22805615,900,1129185232,806,17,1,2020-02-01+06:29:01
5831967,charlidamelio,22540137,899,1109679107,800,16,1,2020-01-31+06:29:01
5831967,charlidamelio,22274660,899,1090172982,794,16,1,2020-01-30+06:29:01
5831967,charlidamelio,22009182,898,1070666856,788,16,1,2020-01-29+06:29:01
5831967,charlidamelio,21743704,898,1051160731,781,16,1,2020-01-28+06:29:01
5831967,charlidamelio,21478227,897,1031654605,775,16,1,2020-01-27+06:29:01
5831967,charlidamelio,21212749,896,1012148480,769,16,1,2020-01-26+06:29:01
5831967,charlidamelio,20947271,896,992642355,763,16,1,2020-01-25+06:29:01
5831967,charlidamelio,20681794,895,973136229,757,16,1,2020-01-24+06:29:01
5831967,charlidamelio,20416316,895,953630104,751,16,1,2020-01-23+06:29:01
5831967,charlidamelio,20150838,894,934123978,744,15,1,2020-01-22+06:29:01
5831967,charlidamelio,19885361,894,914617853,738,15,1,2020-01-21+06:29:01
5831967,charlidamelio,19619883,893,895111728,732,15,1,2020-01-20+06:29:01
5831967,charlidamelio,19354405,892,875605602,726,15,1,2020-01-19+06:29:01
5831967,charlidamelio,19088928,892,856099477,720,15,1,2020-01-18+06:29:01
5831967,charlidamelio,18823450,891,836593351,713,15,1,2020-01-17+06:29:01
5831967,charlidamelio,18557972,891,817087226,707,15,1,2020-01-16+06:29:01
5831967,charlidamelio,18292495,890,797581101,701,15,1,2020-01-15+06:29:01
5831967,charlidamelio,18027017,890,778074975,695,15,1,2020-01-14+06:29:01
5831967,charlidamelio,17761539,889,758568850,689,14,1,2020-01-13+06:29:01
5831967,charlidamelio,17496062,888,739062724,683,14,1,2020-01-12+06:29:01
5831967,charlidamelio,17230584,888,719556599,676,14,1,2020-01-11+06:29:01
5831967,charlidamelio,16965106,887,700050474,670,14,1,2020-01-10+06:29:01
5831967,charlidamelio,16699629,887,680544348,664,14,1,2020-01-09+06:29:01
5831967,charlidamelio,16434151,886,661038223,658,14,1,2020-01-08+06:29:01
5831967,charlidamelio,16168673,886,641532097,652,14,1,2020-01-07+06:29:01
5831967,charlidamelio,15903196,885,622025972,646,14,1,2020-01-06+06:29:01
5831967,charlidamelio,15637718,884,602519847,639,14,1,2020-01-05+06:29:01
5831967,charlidamelio,15372240,884,583013721,633,13,1,2020-01-04+06:29:01
5831967,charlidamelio,15106763,883,563507596,627,13,1,2020-01-03+06:29:01
5831967,charlidamelio,14841285,883,544001470,621,13,1,2020-01-02+06:29:01
5831967,charlidamelio,14575807,882,524495345,615,13,1,2020-01-01+06:29:01
5831967,charlidamelio,14310330,882,504989220,609,13.44,0,2019-12-31+06:29:01
5831967,charlidamelio,14078916,882,491348854,604,14,1,2019-12-30+22:07:02
5831967,charlidamelio,13847502,882,477708488,599,15,1,2019-12-29+22:07:02
5831967,charlidamelio,13616089,882,464068122,594,15.88,0,2019-12-28+22:07:02
5831967,charlidamelio,13211737,880,439459671,585,15,1,2019-12-27+15:06:01
5831967,charlidamelio,12807386,879,414851220,577,15.81,0,2019-12-26+15:06:01
5831967,charlidamelio,12544157,878,401123383,573,15,1,2019-12-25+19:46:01
5831967,charlidamelio,12280929,878,387395546,570,14,1,2019-12-24+19:46:01
5831967,charlidamelio,12017700,878,373667709,567,13,1,2019-12-23+19:46:01
5831967,charlidamelio,11754472,878,359939873,564,13.14,0,2019-12-22+19:46:01
5831967,charlidamelio,11406665,875,341329401,555,11,1,2019-12-21+18:20:01
5831967,charlidamelio,11058859,873,322718929,547,9.52,0,2019-12-20+18:20:01
5831967,charlidamelio,10736570,870,301800889,532,10,1,2019-12-19+00:19:01
,charlidamelio,10097169,6626032,266737024,505,3,0,2019-12-18+00:19:01
,charlidamelio,10255725,3313450,273809936,511,7,0,2019-12-18+00:19:01
,charlidamelio,10414281,868,280882849,517,10.51,0,2019-12-18+00:19:01
,Charlidamelio,9938614,9938614,259664112,500,0,0,2019-12-15+21:26:00
,Charlidamelio,9596513,860,246437240,494,0,0,2019-12-14+09:20:17
,Charlidamelio,9418323,864,238647606,486,0,0,2019-12-13+14:07:48
,charlidamelio,9227207,861,231518301,482,0,0,2019-12-12+13:48:24
,Charlidamelio,9049292,858,223855045,481,0,0,2019-12-11+17:52:36
,Charlidamelio,8875643,8875643,216123098,478,0,0,2019-12-10+23:29:48
,Charlidamelio,8618786,858,208346295,471,0,0,2019-12-09+09:50:27
,Charlidamelio,8442424,858,202159857,467,0,0,2019-12-08+12:27:56
,Charlidamelio,8250194,858,193195133,463,0,0,2019-12-07+15:55:34
,Charlidamelio,8015281,856,184025391,454,0,0,2019-12-06+14:19:44
,Charlidamelio,7814654,902,176543231,448,0,0,2019-12-05+13:55:55
,charlidamelio,7629741,900,170516686,446,0,0,2019-12-04+19:27:57
,charlidamelio,7317162,900,160415225,441,0,0,2019-12-03+15:37:02
,charlidamelio,7072409,895,151476818,434,12.46,0,2019-12-02+15:45:03
,charlidamelio,6927759,895,146532437,429,16.3,0,2019-12-01+21:38:53
,charlidamelio,6770171,895,142026847,428,14.44,0,2019-11-30+22:36:52
,charlidamelio,6499251,893,132688663,423,13.15,0,2019-11-29+14:36:57
,charlidamelio,6365761,878,129288729,421,10.1,0,2019-11-28+19:30:15
,charlidamelio,6128212,866,122207826,415,8.47,0,2019-11-27+05:58:55
,charlidamelio,5986547,843,117276530,409,18.06,0,2019-11-26+11:34:10
,charlidamelio,5773361,843,111622041,406,19.61,0,2019-11-25+00:04:36
,charlidamelio,5512608,5512608,104924082,403,13.5,0,2019-11-23+22:11:24
,charlidamelio,5115584,843,92454314,392,14.5,0,2019-11-21+09:22:44
,charlidamelio,4736248,843,84200892,388,0,0,2019-11-18+12:30:17
,Charlidamelio,4658114,843,82006795,386,0,0,2019-11-17+20:45:01
,Charlidamelio,4467022,833,77682892,381,0,0,2019-11-16+14:21:20
,Charlidamelio,4275930,824,73358989,377,0,0,2019-11-15+14:21:20
,Charlidamelio,4084838,815,69035086,373,0,0,2019-11-14+14:21:20
,charlidamelio,3938375,3938375,65372466,370,0,0,2019-11-13+19:30:17
,Charlidamelio,3345611,815,52833302,354,0,0,2019-11-10+15:51:24
,charlidamelio,2912136,815,44044678,349,0,0,2019-11-08+14:52:57
,charlidamelio,2745710,815,40703976,343,0,0,2019-11-07+15:07:22
,Charlidamelio,2563529,815,37547778,358,0,0,2019-11-06+07:40:01
,Charlidamelio,2425727,2425727,34939063,355,0,0,2019-11-05+16:37:01
,Charlidamelio,2185549,809,30875939,381,0,0,2019-11-04+10:31:01
,Charlidamelio,2016260,2016260,28987493,381,0,0,2019-11-03+19:28:01
,Charlidamelio,1570472,804,22616530,376,0,0,2019-11-02+13:24:50